Generation,Stage,Prey_Fitness,Predator_Fitness,Avg_Prey_Energy,Prey_Starved,Prey_Eaten,Avg_Food_Collected,Avg_Predator_Energy,Pred_Starved,Resource_Depletion_Events,Resource_Depleted_Ticks
104,2,1516.8118576296442,49.71607971812308,14.429999999996742,8.0,2.033333333333333,80.0,61.979999999994575,1.5,3.0,999.5
105,2,1437.4118529196055,106.4468854507184,18.633666666663153,5.5,3.4,99.86666666666667,120.32899999999374,0.0,3.5,1388.5
106,2,1445.4729416694022,74.38427115030719,15.775333333330092,7.0,2.5666666666666664,82.5,73.99999999999332,0.0,2.5,1000.0
107,2,1546.3078835477395,75.03701044546963,15.953333333329667,4.0,2.7333333333333334,91.66666666666667,85.99799999999351,1.0,3.0,1200.0
108,2,1416.32570890851,73.11761244121543,14.940666666663297,7.0,2.7,78.33333333333334,81.99999999999355,1.0,2.5,989.0
109,2,1488.2040375999097,71.2955625563979,18.464666666663128,7.0,2.5666666666666664,93.33333333333334,73.99999999999356,0.5,3.5,1236.0
110,2,1454.2188128120265,100.09267679087512,16.454666666663083,5.0,3.333333333333333,93.33333333333334,114.54999999999417,0.5,3.5,1306.5
111,2,1331.593714597617,129.81069523992815,16.737333333329765,6.0,3.966666666666667,93.46666666666667,156.08399999999378,0.0,3.5,1305.0
112,2,1438.4543632743132,91.87867302154989,13.80933333332992,6.5,3.0666666666666664,84.26666666666667,105.99799999999338,0.5,3.0,1172.5
113,2,1467.070381950798,110.31837084371496,20.805333333329635,4.5,3.466666666666667,106.66666666666667,127.99999999999329,0.0,4.0,1355.5
114,2,1361.847107694886,107.92002268549044,15.990999999996443,6.5,3.433333333333333,86.7,122.91599999999397,0.0,3.0,1030.5
115,2,1365.1713532966312,113.94050188863145,13.03633333332995,5.5,3.5666666666666664,80.56666666666666,132.43699999999382,0.0,3.0,1086.0
116,2,1647.122625616055,55.38363162172702,14.550999999996577,4.0,2.2333333333333334,90.3,67.9859999999944,1.5,3.0,1197.5
117,2,1522.4054148259418,74.48236776040015,12.884999999996651,5.5,2.666666666666667,82.7,78.67599999999433,0.5,3.0,1042.5
118,2,1700.7481721853926,56.31420677692075,18.237333333329772,3.0,2.2,102.86666666666667,61.989999999994325,1.0,3.5,1257.0
119,2,1626.0886871670511,60.0574009037364,12.206333333329823,3.5,2.3666666666666667,83.56666666666666,73.98799999999412,1.5,3.0,1193.5
120,2,1525.0545295254697,77.30494117634787,13.691666666663169,5.5,2.7333333333333334,85.83333333333333,83.99999999999336,0.5,3.0,1200.0
121,2,1541.751873967346,75.27501912071041,17.179333333329893,5.5,2.666666666666667,94.66666666666666,81.99799999999351,0.5,3.0,1200.0
122,2,1527.8048979110367,81.58582373919775,16.500999999996473,5.0,2.8,93.1,92.51399999999397,0.5,3.0,1200.0
123,2,1568.9521218975601,88.61237316727609,18.17899999999637,3.5,2.9333333333333336,100.9,95.99999999999324,0.0,3.5,1289.5
124,2,1641.1034454237806,46.66414278477594,13.23433333332983,5.0,2.033333333333333,85.96666666666667,53.98799999999467,1.5,3.0,1200.0
125,2,1618.8653450055363,54.72011163279593,16.138666666663077,5.0,2.2666666666666666,93.33333333333334,55.05999999999427,1.0,3.5,1296.5
126,2,1560.7883176066248,81.32285124026784,19.157666666662976,4.0,2.833333333333333,101.43333333333334,89.99999999999349,0.5,3.5,1268.0
127,2,1605.7687596189342,73.40481530121461,17.5159999999964,4.0,2.6333333333333333,99.4,87.98999999999381,1.0,3.5,1221.0
128,2,1524.5391712064993,70.96286402638592,11.54533333332979,6.0,2.6666666666666665,80.46666666666667,79.76499999999427,1.0,3.0,1200.0
129,2,1512.3691227000925,94.98909597304674,16.232333333329745,4.0,3.1,92.96666666666667,105.99999999999338,0.0,3.0,1200.0
130,2,1515.8874627517473,85.99635358222062,15.730666666663232,5.5,2.966666666666667,94.13333333333333,96.49599999999417,0.5,3.0,1200.0
131,2,1603.0926824855012,66.48485833501489,16.47833333332968,4.5,2.466666666666667,94.56666666666666,67.9999999999934,0.5,3.0,1200.0
132,2,1581.2636650253044,60.728399728548574,14.83566666666307,5.0,2.433333333333333,88.43333333333334,81.98399999999437,2.0,3.0,1195.0
133,2,1684.891727909886,34.03947495341155,17.619999999996452,5.0,1.7999999999999998,95.8,39.98799999999453,2.0,3.0,1200.0
